emoticon	description			
(^^)	laugh			
(^J^)	laugh			
(*^.^*)	laugh			
^_^	laugh			
(#^.^#)	laugh			
（^—^）	laugh			
(^^)/~~~	waving			
(^_^)/~	waving			
(;_;)/~~~	waving			
(^.^)/~~~	waving			
(-_-)/~~~	waving			
($··)/~~~	waving			
(@^^)/~~~	waving			
(T_T)/~~~	waving			
(ToT)/~~~	waving			
(V)o￥o(V)	alien baltan			
＼(~o~)／	excited			
＼(^o^)／	excited			
＼(-o-)／	excited			
ヽ(^。^)ノ	excited			
ヽ(^o^)丿	excited			
(*^0^*)	excited			
(*_*)	amazed			
(*_*;	amazed			
(+_+)	amazed			
(@_@)	amazed			
(@_@。	amazed			
(＠_＠;)	amazed			
＼(◎o◎)／！	amazed			
!(^^)!	happy			
(*^^)v	cheerful			
(^^)v	cheerful			
(^_^)v	cheerful			
（’-’*)	cheerful			
(＾ｖ＾)	cheerful			
(＾▽＾)	cheerful			
(・∀・)	cheerful			
(´∀`)	cheerful			
(⌒▽⌒）	cheerful			
＼(^o^)／	hopeless			
\(^o^)/	hopeless			
(~o~)	unamused			
(~_~)	unamused			
(^^ゞ	kiss			
ˊ＿>ˋ 	calmness			
(p_-)	monocle face			
(-_q)	monocle face			
((d[-_-]b))	headphones			
"(-""-)"	worried			
(ーー゛)	worried			
(^_^メ)	worried			
(-_-メ)	worried			
(~_~メ)	worried			
(－－〆)	worried			
(・へ・)	worried			
(｀´)	worried			
<`～´>	worried			
<`ヘ´>	worried			
(ーー;)	worried			
(^0_0^)	eyeglasses			
( ..)φ	jotting note			
φ(..)	jotting note			
(●＾o＾●)	happy			
(＾ｖ＾)	happy			
(＾ｕ＾)	happy			
(＾◇＾)	happy			
( ^)o(^ )	happy			
(^O^)	happy			
(^o^)	happy			
(^○^)	happy			
)^o^(	happy			
(*^▽^*)	happy			
(✿◠‿◠)	happy			
(￣ー￣)	grinning			
(￣□￣;)	surprised			
°o°	surprised			
°O°	surprised			
:O	surprised			
o_O	surprised			
o_0	surprised			
o.O	surprised			
(o.o)	surprised			
oO	surprised			
(*´▽｀*)	infatuation			
(*°∀°)=3	infatuation			
ᕕ( ᐛ )ᕗ 	dancing			
（ ﾟ Дﾟ)	shocked			
(°◇°)	shocked			
(*￣m￣)	dissatisfied			
ヽ(´ー｀)┌	mellow			
¯\_(ツ)_/¯	shrug 			
¯\(°_o)/¯	shrug 			
(´･ω･`)	snubbed			
(‘A`)	snubbed			
(づ￣ ³￣)づ 	hugging			
(*^3^)/~☆	blowing a kiss			
.....φ(・∀・＊)	studying is good			
(-_-) zzz	sleeping			
(︶｡︶✽)	sleeping			
uwu	joy			
UwU	joy			
OWO	surprise			
OwO	surprise			
囧	distress			
.o○	bubbles			
○o.	bubbles			
