word
threat
military
offensive
terrorism
threaten
terrorist
extremist
muslims
criminal
extremism
violence
genocide
hoax
beneran
trick
rumor
broadcast
globalwarme
renewable
publichealth
nra
guncontrol
Republican
President
tcot
Democratic
Conservative
insane
crazy
ridiculous
unreal
unbelievable
absolutely
islamic
muslim
religious
islam
sharia
buddhist
bombing
extremist
stupid
dumb
annoying
fucking
damn
shit
offensive
kill
strike
attack
kill
fraud
corruption
offense
report
claim
theft
bullshit
gunsense
gunright
commonsense
amendment
blame
blaming
fault
except
bad
error
scams
diagram
scammers
Republican
senate
alarmist
denier
skeptics
narps
sceptic
cynic
christians
hindus
jewish
people
Progressive
totally
completely
literally
awful
kill
make
idiot
moron
dumbass
repub
hindu
jihad
enemy
weapon
fear
destroy
devil
gun
bipartisan
draconian
abortion
let
fuck
lie
tell
truth
bullshit
rapist
politician
citizen
offender
terror
horror
suspense
criminal
Capitalism
socialism
communism
democracy
capitalist
crony
moron
asshole
dumbass
human
murder
rape
charge
death
accuse
Liars
cheater
diarie
hypocrite
crime
liberal
Islamic
firearm
law
shoot
rifle
wakeupamerica
amendments
constitutional
constitution
amend
statute
manmade
systemic
warm
generational
confiscation
firearm
redistribution
unconstitutional
revocation
lawlessness
weapon
bullet
radical
political
leftist
socialist
rednationrise
tgdn
ccot
ctot
opslam
lnyhbt
refugee
refugee
syrians
palestinians
syrian
migrant
expose
reveal
shock
catch
global-warm
2a
